"","Waterbody","DATE","ISITE","FSITE","AccessSite","YEAR","MONTH","DAY","DOW","MODE","ANGCNT","ANGTRIPS","SDAY","EDAY","STIME","ST","ETIME","ET","TRIPHOURS","PARTYHOURS","CTRIP","TARGET","WAE","YEP"
"1","LK_ERIE_BUS_ROUTE_SIMU","2021-9-1","701","701","Bolles",2021,9,1,3,"BOAT",2,1,"2021-9-1","2021-9-1","6:30",6.5,"12:15",12.25,5.75,11.5,1,"WAP",0,12
"2","LK_ERIE_BUS_ROUTE_SIMU","2021-9-1","702","702","Sterling",2021,9,1,3,"BOAT",3,1,"2021-9-1","2021-9-1","10:30",10.5,"14:30",14.5,4,12,1,"WAP",0,18
"3","LK_ERIE_BUS_ROUTE_SIMU","2021-9-1","702","702","Sterling",2021,9,1,3,"BOAT",2,1,"2021-9-1","2021-9-1","7:30",7.5,"12:30",12.5,5,10,1,"OTH",0,0
"4","LK_ERIE_BUS_ROUTE_SIMU","2021-9-1","702","702","Sterling",2021,9,1,3,"BOAT",2,1,"2021-9-1","2021-9-1","7:30",7.5,"12:15",12.25,4.75,9.5,1,"WAP",0,0
"5","LK_ERIE_BUS_ROUTE_SIMU","2021-9-2","702","702","Sterling",2021,9,2,4,"BOAT",3,1,"2021-9-2","2021-9-2","9:0",9,"18:30",18.5,9.5,28.5,1,"WAP",0,40
"6","LK_ERIE_BUS_ROUTE_SIMU","2021-9-2","702","702","Sterling",2021,9,2,4,"BOAT",1,1,"2021-9-2","2021-9-2","17:30",17.5,"20:0",20,2.5,2.5,1,"OTH",0,0
"7","LK_ERIE_BUS_ROUTE_SIMU","2021-9-2","702","702","Sterling",2021,9,2,4,"BOAT",1,1,"2021-9-2","2021-9-2","5:0",5,"12:30",12.5,7.5,7.5,1,"WAP",0,12
"8","LK_ERIE_BUS_ROUTE_SIMU","2021-9-2","702","702","Sterling",2021,9,2,4,"BOAT",1,1,"2021-9-2","2021-9-2","8:0",8,"10:30",10.5,2.5,2.5,1,"WAP",0,0
"9","LK_ERIE_BUS_ROUTE_SIMU","2021-9-2","702","702","Sterling",2021,9,2,4,"BOAT",1,1,"2021-9-2","2021-9-2","12:30",12.5,"15:30",15.5,3,3,1,"WAP",0,0
"10","LK_ERIE_BUS_ROUTE_SIMU","2021-9-2","702","702","Sterling",2021,9,2,4,"BOAT",3,1,"2021-9-2","2021-9-2","18:0",18,"19:0",19,1,3,1,"WAP",0,0
"11","LK_ERIE_BUS_ROUTE_SIMU","2021-9-2","702","702","Sterling",2021,9,2,4,"BOAT",1,1,"2021-9-2","2021-9-2","18:0",18,"20:45",20.75,2.75,2.75,1,"WAP",0,0
"12","LK_ERIE_BUS_ROUTE_SIMU","2021-9-2","701","701","Bolles",2021,9,2,4,"BOAT",2,1,"2021-9-2","2021-9-2","17:0",17,"19:15",19.25,2.25,4.5,1,"WAP",0,0
"13","LK_ERIE_BUS_ROUTE_SIMU","2021-9-2","701","701","Bolles",2021,9,2,4,"BOAT",1,1,"2021-9-2","2021-9-2","7:30",7.5,"15:15",15.25,7.75,7.75,1,"WAP",0,1
"14","LK_ERIE_BUS_ROUTE_SIMU","2021-9-2","702","702","Sterling",2021,9,2,4,"BOAT",2,1,"2021-9-2","2021-9-2","13:30",13.5,"16:45",16.75,3.25,6.5,1,"WAP",0,8
"15","LK_ERIE_BUS_ROUTE_SIMU","2021-9-2","702","702","Sterling",2021,9,2,4,"BOAT",1,1,"2021-9-2","2021-9-2","7:30",7.5,"14:30",14.5,7,7,1,"WAP",0,5
"16","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","17:0",17,"19:45",19.75,2.75,5.5,1,"WAP",0,40
"17","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","7:0",7,"10:45",10.75,3.75,3.75,1,"WAP",0,3
"18","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","17:0",17,"18:45",18.75,1.75,5.25,1,"WAP",0,15
"19","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","9:30",9.5,"18:0",18,8.5,17,1,"WAP",0,7
"20","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","8:30",8.5,"16:30",16.5,8,16,1,"WAP",0,30
"21","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","17:30",17.5,"19:30",19.5,2,2,1,"WAP",1,0
"22","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","7:30",7.5,"9:15",9.25,1.75,1.75,1,"WAP",0,0
"23","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","14:0",14,"19:30",19.5,5.5,11,1,"WAP",0,0
"24","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","7:0",7,"12:0",12,5,10,1,"WAP",0,1
"25","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","13:30",13.5,"18:30",18.5,5,10,1,"WAP",1,5
"26","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","9:30",9.5,"11:30",11.5,2,4,1,"WAP",0,0
"27","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","8:0",8,"14:0",14,6,12,1,"WAP",0,6
"28","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","10:30",10.5,"15:0",15,4.5,9,1,"WAP",0,0
"29","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","8:0",8,"13:0",13,5,5,1,"WAP",0,12
"30","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","9:30",9.5,"13:45",13.75,4.25,8.5,1,"OTH",0,0
"31","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","8:0",8,"9:30",9.5,1.5,4.5,1,"WAP",0,0
"32","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","6:30",6.5,"13:15",13.25,6.75,6.75,1,"WAP",0,0
"33","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","9:30",9.5,"16:0",16,6.5,19.5,1,"WAP",0,22
"34","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","10:0",10,"11:45",11.75,1.75,1.75,1,"WAP",0,0
"35","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","9:0",9,"13:0",13,4,8,1,"WAP",0,12
"36","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","10:30",10.5,"15:0",15,4.5,9,1,"WAP",0,55
"37","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","15:30",15.5,"18:45",18.75,3.25,6.5,1,"WAP",0,0
"38","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","15:0",15,"17:45",17.75,2.75,5.5,1,"WAP",0,0
"39","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","9:30",9.5,"18:0",18,8.5,17,1,"WAP",0,7
"40","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","7:30",7.5,"15:15",15.25,7.75,7.75,1,"WAP",0,1
"41","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","12:0",12,"13:45",13.75,1.75,3.5,1,"WAP",0,0
"42","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","10:0",10,"18:30",18.5,8.5,8.5,1,"WAP",0,2
"43","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","10:0",10,"18:30",18.5,8.5,8.5,1,"WAP",0,2
"44","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","9:0",9,"15:45",15.75,6.75,20.25,1,"WAP",0,28
"45","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","8:0",8,"13:45",13.75,5.75,5.75,1,"WAP",0,4
"46","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","7:0",7,"13:15",13.25,6.25,18.75,1,"WAP",0,5
"47","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","10:30",10.5,"19:15",19.25,8.75,26.25,1,"WAP",0,0
"48","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","18:0",18,"20:0",20,2,6,1,"OTH",0,0
"49","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","14:0",14,"17:45",17.75,3.75,3.75,1,"WAP",0,0
"50","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","12:30",12.5,"16:15",16.25,3.75,7.5,1,"WAP",0,0
"51","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",4,1,"2021-9-3","2021-9-3","11:30",11.5,"15:30",15.5,4,16,1,"WAP",0,22
"52","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","17:0",17,"18:45",18.75,1.75,5.25,1,"WAP",0,15
"53","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","8:0",8,"19:15",19.25,11.25,22.5,1,"WAP",0,25
"54","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","17:0",17,"20:0",20,3,9,1,"WAP",0,0
"55","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","13:0",13,"14:45",14.75,1.75,3.5,1,"WAP",0,0
"56","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","7:30",7.5,"13:15",13.25,5.75,11.5,1,"WAP",0,24
"57","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","7:0",7,"13:45",13.75,6.75,13.5,1,"WAP",0,8
"58","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","8:30",8.5,"13:0",13,4.5,9,1,"WAP",0,0
"59","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","17:30",17.5,"19:30",19.5,2,6,1,"WAP",0,1
"60","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","7:45",7.75,"10:15",10.25,2.5,5,1,"WAP",0,0
"61","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","18:0",18,"20:0",20,2,6,1,"OTH",0,0
"62","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","7:30",7.5,"13:45",13.75,6.25,12.5,1,"WAP",0,21
"63","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","9:0",9,"13:45",13.75,4.75,9.5,1,"OTH",0,0
"64","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","9:0",9,"15:30",15.5,6.5,19.5,1,"WAP",0,0
"65","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","8:30",8.5,"15:15",15.25,6.75,13.5,1,"WAP",0,14
"66","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","8:30",8.5,"16:30",16.5,8,16,1,"WAP",0,30
"67","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",3,1,"2021-9-3","2021-9-3","8:0",8,"10:15",10.25,2.25,6.75,1,"WAP",0,0
"68","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","9:30",9.5,"13:45",13.75,4.25,8.5,1,"OTH",0,0
"69","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","11:0",11,"15:45",15.75,4.75,9.5,1,"WAP",0,10
"70","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","6:30",6.5,"15:15",15.25,8.75,8.75,1,"WAP",0,25
"71","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","13:30",13.5,"18:30",18.5,5,10,1,"WAP",1,5
"72","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","12:45",12.75,"18:15",18.25,5.5,11,1,"WAP",0,12
"73","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","7:30",7.5,"12:30",12.5,5,10,1,"OTH",0,0
"74","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","9:0",9,"13:0",13,4,8,1,"WAP",0,12
"75","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","11:0",11,"15:45",15.75,4.75,9.5,1,"WAP",0,10
"76","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","9:0",9,"14:30",14.5,5.5,5.5,1,"OTH",0,0
"77","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","12:30",12.5,"16:15",16.25,3.75,7.5,1,"WAP",0,0
"78","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","701","701","Bolles",2021,9,3,5,"BOAT",1,1,"2021-9-3","2021-9-3","10:0",10,"13:45",13.75,3.75,3.75,1,"WAP",0,11
"79","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",5,1,"2021-9-3","2021-9-3","7:45",7.75,"10:30",10.5,2.75,13.75,1,"WAP",0,3
"80","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","7:0",7,"9:30",9.5,2.5,5,1,"WAP",0,0
"81","LK_ERIE_BUS_ROUTE_SIMU","2021-9-3","702","702","Sterling",2021,9,3,5,"BOAT",2,1,"2021-9-3","2021-9-3","8:30",8.5,"15:30",15.5,7,14,1,"WAP",0,4
"82","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",1,1,"2021-9-4","2021-9-4","7:0",7,"13:0",13,6,6,1,"OTH",0,0
"83","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",3,1,"2021-9-4","2021-9-4","9:0",9,"13:0",13,4,12,1,"WAP",0,20
"84","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",1,1,"2021-9-4","2021-9-4","6:30",6.5,"16:30",16.5,10,10,1,"WAP",0,0
"85","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",4,1,"2021-9-4","2021-9-4","11:30",11.5,"19:0",19,7.5,30,1,"WAP",0,20
"86","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","701","701","Bolles",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","7:0",7,"12:0",12,5,10,1,"WAP",0,3
"87","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",3,1,"2021-9-4","2021-9-4","7:30",7.5,"15:30",15.5,8,24,1,"WAP",0,15
"88","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",3,1,"2021-9-4","2021-9-4","10:0",10,"15:30",15.5,5.5,16.5,1,"WAP",0,10
"89","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","7:30",7.5,"13:0",13,5.5,11,1,"WAP",0,4
"90","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","701","701","Bolles",2021,9,4,6,"BOAT",3,1,"2021-9-4","2021-9-4","9:30",9.5,"14:15",14.25,4.75,14.25,1,"WAP",0,12
"91","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","701","701","Bolles",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","8:30",8.5,"14:45",14.75,6.25,12.5,1,"OTH",0,0
"92","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","701","701","Bolles",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","14:0",14,"19:30",19.5,5.5,11,1,"WAP",0,0
"93","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",1,1,"2021-9-4","2021-9-4","7:0",7,"10:45",10.75,3.75,3.75,1,"WAP",0,3
"94","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","701","701","Bolles",2021,9,4,6,"BOAT",3,1,"2021-9-4","2021-9-4","18:0",18,"19:30",19.5,1.5,4.5,1,"WAP",0,0
"95","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","701","701","Bolles",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","13:30",13.5,"18:30",18.5,5,10,1,"WAP",1,5
"96","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","6:30",6.5,"12:0",12,5.5,11,1,"WAP",0,21
"97","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","10:0",10,"15:15",15.25,5.25,10.5,1,"WAP",0,1
"98","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",4,1,"2021-9-4","2021-9-4","6:0",6,"13:15",13.25,7.25,29,1,"WAP",0,25
"99","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","7:0",7,"9:30",9.5,2.5,5,1,"WAP",0,0
"100","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","9:30",9.5,"18:0",18,8.5,17,1,"WAP",0,7
"101","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","701","701","Bolles",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","7:0",7,"13:30",13.5,6.5,13,1,"WAP",0,51
"102","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","7:30",7.5,"13:0",13,5.5,11,1,"WAP",0,13
"103","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",2,1,"2021-9-4","2021-9-4","13:0",13,"14:45",14.75,1.75,3.5,1,"WAP",0,0
"104","LK_ERIE_BUS_ROUTE_SIMU","2021-9-4","702","702","Sterling",2021,9,4,6,"BOAT",3,1,"2021-9-4","2021-9-4","8:0",8,"9:30",9.5,1.5,4.5,1,"WAP",0,0
